,,ロット情報,,,,,,①盛り後,②2~3h後点検,,,,,③制御2→3,,,,,,,④手入れ前,,,,,,,,⑤制御3→4,,,,,,⑥制御4,,,⑦朝から除湿,,,,,
製麴機,月日,産地,新古,品種,精米歩合,枚数,重量,①品温,②時刻,②時刻(h),②品温,②保温1,②保温2,③換気,③排気,③除湿機入り,③除湿機戻り,③保温1,③保温2,③風量,④時刻,④時刻(h),④品温,④換気,④排気,④除湿機入り,④除湿機戻り,④風量,"⑤変更有無
変更無=1
変更有=2",⑤換気,⑤排気,⑤除湿機入り,⑤除湿機戻り,⑤風量,⑥変更有無,⑥換気,⑥排気,⑦換気,⑦排気,⑦除湿機入り,⑦除湿機戻り,⑦風量,
A,2022/5/4,広島県,新米,八反錦,70,6,125,32.70,10:51:00,10.85 ,35.00,,,1.4,2.2,全閉,全閉,39.0,39.5,6.0,14:54:00,14.90 ,41.18,0.7,1.5,2.5,全開,6.0,1,0.7,1.5,2.5,全開,6.0,2,0.95,1.85,,,,,,
A,2022/5/6,広島県,新米,八反錦,70,6,130,33.28,10:38:00,10.63 ,35.40,,,1.5,2.3,全閉,全閉,39.0,39.5,6.2,14:33:00,14.55 ,41.58,0.9,1.8,2.5,全開,6.2,2,0.8,1.7,2.5,全開,6.2,1,0.8,1.7,,,,,,
A,2023/9/23,岡山県,古米,八反錦,60,3,55,,,,,,,,,,,,,,,0.00 ,,,,,,,,,,,,,,,,,,,,,
A,2023/9/27,岡山県,古米,山田錦,50,4,80,32.40,9:39:00,9.65 ,33.90,,,1.4,2.2,,,,,,14:38:00,14.63 ,41.64,1.4,2.2,全閉,全閉,5.0,1,1.4,2.2,全閉,全閉,5.0,1,1.4,2.2,0.25,0.75,2.5,全開,5.5,
B,2023/9/30,広島県,古米,八反錦,60,6,115,33.70,11:26:00,11.43 ,37.22,,,1.3,2.2,全閉,全閉,39.0,39.5,6.0,14:10:00,14.17 ,41.30,0.7,1.5,2.5,全開,6.0,1,0.7,1.5,2.5,全開,6.0,1,0.7,1.5,,,,,,
A,2023/10/2,広島県,古米,八反錦,60,3,75,32.60,10:55:00,10.92 ,34.74,,,,,,,,,,,0.00 ,40.78,1.4,2.2,全閉,全閉,5.0,1,1.4,2.2,全閉,全閉,5.0,1,1.4,2.2,0.25,0.65,2.5,全開,5.5,
B,2023/10/3,広島県,古米,八反錦,60,6,110,32.36,11:09:00,11.15 ,34.70,,,1.4,2.2,全閉,全閉,39.0,39.5,6.0,14:54:00,14.90 ,40.88,0.7,1.5,2.5,全開,6.0,1,0.7,1.5,2.5,全開,6.0,2,0.6,1.3,,,,,,
A,2023/10/4,岡山県,古米,山田錦,50,6,130,,,,,,,1.5,2.3,,,,,,14:41:00,14.68 ,41.44,0.9,1.7,2.5,全開,6.2,2,0.7,1.7,2.5,全開,6.2,2,0.7,1.3,,,,,,
B,2023/10/5,広島県,古米,八反錦,60,3,60,32.70,10:46:00,10.77 ,35.86,,,1.3,2.1,,,,,,14:50:00,14.83 ,,1.3,2.1,全閉,全閉,4.3,1,1.3,2.1,全閉,全閉,4.3,2,1.2,2.0,0.25,0.65,2.5,1.0,5.0,
A,2023/10/6,岡山県,古米,山田錦,50,6,135,32.26,11:38:00,11.63 ,35.58,,,,,,,,,6.2,14:53:00,14.88 ,40.94,0.7,1.5,2.5,全開,6.2,2,0.8,1.6,2.5,全開,6.2,1,0.8,1.6,,,,,,
B,2023/10/7,岡山県,古米,山田錦,50,6,110,,10:44:00,10.73 ,34.54,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,15:04:00,15.07 ,41.20,0.6,1.4,2.5,全開,6.0,2,0.7,1.5,2.5,全開,6.0,1,0.7,1.5,,,,,,
A,2023/10/8,岡山県,古米,山田錦,50,6,135,32.16,10:31:00,10.52 ,33.76,,,1.4,2.3,,,,,,15:09:00,15.15 ,40.62,0.8,1.6,2.5,全開,6.3,1,0.8,1.6,2.5,全開,6.3,2,0.7,1.5,,,,,,
B,2023/10/9,岡山県,古米,山田錦,50,5,105,32.08,10:06:00,10.10 ,33.44,,,1.4,2.2,全閉,全閉,39.0,39.5,6.2,,,,0.7,1.5,2.5,全開,6.2,1,0.7,1.5,2.5,全開,6.2,2,0.6,1.3,,,,,,
B,2023/10/9,広島県,新米,雄町,40,1,15,32.08,10:06:00,10.10 ,33.44,,,1.4,2.2,全閉,全閉,39.0,39.5,6.2,,,,0.7,1.5,2.5,全開,6.2,1,0.7,1.5,2.5,全開,6.2,2,0.6,1.3,,,,,,
A,2023/10/10,広島県,古米,八反錦,60,6,150,32.92,10:00:00,10.00 ,34.60,,,,,,,,,,15:05:00,15.08 ,41.68,0.8,1.7,2.5,全開,6.4,2,0.9,1.8,2.5,全開,6.4,2,0.8,1.7,,,,,,
B,2023/10/11,岡山県,古米,山田錦,50,6,135,32.40,,,,,,1.4,2.2,全閉,全閉,39.0,39.5,,15:20:00,15.33 ,41.62,0.6,1.4,2.5,全開,6.2,1,0.6,1.4,2.5,全開,6.2,1,0.6,1.4,,,,,,
A,2023/10/12,広島県,古米,八反錦,60,6,140,32.36,11:18:00,11.30 ,35.56,,,1.5,2.3,全閉,全閉,39.0,39.5,6.4,,,,0.8,1.7,2.5,全開,6.4,2,0.7,1.6,2.5,全開,6.4,1,0.7,1.6,,,,,,
B,2023/10/13,広島県,古米,八反錦,60,6,150,32.56,11:55:00,11.92 ,36.26,,,1.6,2.4,全閉,全閉,39.0,39.5,6.4,15:20:00,15.33 ,40.88,0.8,1.7,2.5,全開,6.4,2,0.7,1.6,2.5,全開,6.4,2,0.6,1.4,,,,,,
A,2023/10/14,広島県,古米,八反錦,60,6,140,32.72,,,,,,,,,,,,,14:56:00,14.93 ,41.08,0.7,1.5,2.5,全開,6.3,2,0.6,1.4,2.5,全開,6.3,2,0.6,1.3,,,,,,
B,2023/10/15,岡山県,古米,山田錦,50,3,60,32.24,10:57:00,10.95 ,35.62,,,1.3,2.1,全閉,全閉,39.0,39.5,4.3,15:10:00,15.17 ,41.38,1.3,2.1,全閉,全閉,4.3,2,1.4,2.2,全閉,全閉,4.3,2,1.3,2.1,0.2,0.6,2.5,1.0,5.0,
A,2023/10/16,広島県,古米,八反錦,60,6,140,32.08,11:37:00,11.62 ,35.24,,,,,,,,,,15:10:00,15.17 ,40.42,0.6,1.4,2.5,全開,6.3,1,0.6,1.4,2.5,全開,6.3,2,0.5,1.2,,,,,,
B,2023/10/19,広島県,古米,八反錦,60,6,140,33.08,,,,,,,,,,,,,,0.00 ,41.60,0.5,1.3,2.5,全開,6.3,2,0.4,1.2,2.5,全開,6.3,2,0.3,1.1,,,,,,
A,2023/10/20,広島県,古米,雄町,40,6,120,32.36,11:07:00,11.12 ,35.82,,,,,,,,,,15:05:00,15.08 ,41.02,0.7,1.5,2.5,全開,6.0,1,0.7,1.5,2.5,全開,6.0,2,0.6,1.4,,,,,,
B,2023/10/21,広島県,古米,八反錦,60,6,141,32.88,10:48:00,10.80 ,35.08,,,,,,,,,,15:07:00,15.12 ,41.04,0.5,1.3,2.5,全開,6.3,2,0.4,1.2,2.5,全開,6.3,2,0.4,1.0,,,,,,
A,2023/10/22,岡山県,古米,山田錦,50,4,80,30.96,11:35:00,11.58 ,34.20,,,1.4,2.2,,,,,,15:15:00,15.25 ,40.60,1.4,2.2,全閉,全閉,5.0,2,1.3,2.1,全閉,全閉,5.0,2,1.2,1.9,0.25,0.65,2.5,1.0,5.5,
A,2023/10/26,岡山県,古米,山田錦,50,6,110,,11:45:00,11.75 ,36.32,,,1.2,2.1,全閉,全閉,39.0,39.5,6.0,14:42:00,14.70 ,40.98,0.9,1.7,2.5,全開,6.0,2,0.8,1.6,2.5,全開,6.0,1,0.8,1.6,,,,,,
B,2023/10/27,岡山県,古米,雄町,50,3,45,31.86,11:54:00,11.90 ,37.10,,,,,,,,,,14:49:00,14.82 ,41.20,1.1,2.0,全閉,全閉,4.2,2,1.2,2.1,全閉,全閉,4.2,1,1.2,2.1,,,,,,
A,2023/10/28,岡山県,古米,山田錦,50,6,145,32.56,12:58:00,12.97 ,39.42,,,1.5,2.4,,,,,,14:48:00,14.80 ,41.42,0.8,1.7,2.5,全開,6.4,1,0.8,1.7,2.5,全開,6.4,1,0.8,1.7,,,,,,
B,2023/10/29,岡山県,古米,山田錦,50,6,140,32.64,11:43:00,11.72 ,36.84,,,1.5,2.4,,,,,,14:28:00,14.47 ,40.96,0.7,1.6,2.5,全開,6.3,2,0.6,1.5,2.5,全開,6.3,1,0.6,1.5,,,,,,
A,2023/10/30,兵庫県,古米,山田錦,50,6,120,,10:59:00,10.98 ,34.38,,,1.4,2.2,全閉,全閉,39.0,39.5,6.0,14:49:00,14.82 ,41.10,0.7,1.5,2.5,全開,6.0,1,0.7,1.5,2.5,全開,6.0,1,0.7,1.5,,,,,,
B,2023/10/31,兵庫県,古米,山田錦,50,6,140,32.18,11:34:00,11.57 ,35.84,,,1.5,2.3,全閉,全閉,39.0,39.5,6.4,14:54:00,14.90 ,41.56,0.8,1.7,2.5,全開,6.4,1,0.8,1.7,2.5,全開,6.4,2,0.9,1.9,,,,,,
A,2023/11/1,広島県,新米,八反錦,65,6,140,32.70,11:31:00,11.52 ,36.44,,,,,,,,,,14:49:00,14.82 ,41.58,0.7,1.5,2.5,全開,6.5,1,0.7,1.5,2.5,全開,6.5,2,0.6,1.3,,,,,,
B,2023/11/2,岡山県,古米,山田錦,50,3,65,32.52,11:20:00,11.33 ,36.44,,,1.3,2.1,全閉,全閉,39.0,39.5,4.6,14:33:00,14.55 ,41.78,1.4,2.1,全閉,全閉,4.6,1,1.4,2.1,全閉,全閉,4.6,2,1.5,2.2,,,,,,
A,2023/11/3,広島県,新米,八反錦,65,6,140,32.56,13:06:00,13.10 ,38.98,,,1.5,2.3,全閉,全閉,39.0,39.5,6.5,14:53:00,14.88 ,41.28,0.7,1.5,2.5,全開,6.5,2,0.8,1.6,2.5,全開,6.5,2,0.6,1.4,,,,,,
B,2023/11/4,広島県,新米,八反錦,65,6,120,32.50,11:52:00,11.87 ,36.88,,,,,,,,,,14:56:00,14.93 ,41.36,0.6,1.3,2.5,全開,6.0,1,0.6,1.3,2.5,全開,6.0,2,0.5,1.2,,,,,,
A,2023/11/5,広島県,新米,八反錦,60,6,140,32.80,10:30:00,10.50 ,35.40,,,1.5,2.3,全閉,全閉,39.0,39.5,6.4,14:23:00,14.38 ,41.10,0.7,1.5,2.5,全開,6.4,1,0.7,1.5,2.5,全開,6.4,2,0.7,1.4,,,,,,
B,2023/11/6,広島県,新米,八反錦,65,6,120,32.84,,,,,,1.4,2.2,全閉,全閉,39.0,39.5,6.0,14:47:00,14.78 ,41.28,0.6,1.3,2.5,全開,6.0,1,0.6,1.3,2.5,全開,6.0,2,0.5,1.1,,,,,,
A,2023/11/7,岡山県,古米,雄町,50,6,120,33.02,10:11:00,10.18 ,35.10,,,1.4,2.3,全閉,全閉,39.0,39.5,6.0,14:24:00,14.40 ,41.40,0.7,1.5,2.5,全開,6.0,1,0.7,1.5,2.5,全開,6.0,2,0.6,1.4,,,,,,
B,2023/11/8,広島県,新米,八反錦,60,4,100,31.82,13:03:00,13.05 ,38.02,,,1.5,2.4,全閉,全閉,39.0,39.5,6.3,14:55:00,14.92 ,40.62,0.6,1.4,2.5,全開,6.3,2,0.7,1.5,2.5,全開,6.3,2,0.6,1.3,,,,,,
B,2023/11/8,兵庫県,新米,山田錦,40,2,35,31.82,13:03:00,13.05 ,38.02,,,1.5,2.4,全閉,全閉,39.0,39.5,6.3,14:55:00,14.92 ,40.62,0.6,1.4,2.5,全開,6.3,2,0.7,1.5,2.5,全開,6.3,2,0.6,1.3,,,,,,
A,2023/11/9,岡山県,古米,雄町,50,6,115,31.64,11:55:00,11.92 ,35.26,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,15:08:00,15.13 ,41.00,0.5,1.3,2.5,全開,6.0,1,0.5,1.3,2.5,全開,6.0,2,0.4,1.1,,,,,,
B,2023/11/10,岡山県,古米,雄町,50,6,140,33.14,11:32:00,11.53 ,37.02,,,1.5,2.3,全閉,全閉,39.0,39.5,6.4,14:22:00,14.37 ,41.28,0.7,1.5,2.5,全開,6.4,2,0.7,1.4,2.5,全開,6.4,2,0.6,1.3,,,,,,
A,2023/11/11,兵庫県,古米,山田錦,50,6,140,33.72,,,,,,1.5,2.4,全閉,全閉,39.0,39.5,6.4,14:15:00,14.25 ,41.40,0.8,1.6,2.5,全開,6.4,2,0.9,1.5,2.5,全開,6.4,2,0.7,1.5,,,,,,
B,2023/11/12,広島県,新米,雄町,40,2,35,30.62,10:22:00,10.37 ,35.04,,,1.0,1.8,全閉,全閉,39.0,39.5,4.2,14:30:00,14.50 ,40.84,0.8,1.6,全閉,全閉,3.8,1,0.8,1.6,全閉,全閉,3.8,2,0.6,1.3,,,,,,
A,2023/11/13,兵庫県,古米,山田錦,50,6,140,32.20,11:38:00,11.63 ,35.80,,,1.5,2.4,全閉,全閉,39.0,39.5,6.4,14:30:00,14.50 ,40.70,0.7,1.5,2.5,全開,6.4,1,0.7,1.5,2.5,全開,6.4,1,0.7,1.5,,,,,,
B,2023/11/14,岡山県,古米,山田錦,50,6,120,31.88,11:55:00,11.92 ,36.10,,,,,,,,,,14:12:00,14.20 ,40.54,0.6,1.4,2.5,全開,6.0,1,0.6,1.4,2.5,全開,6.0,2,0.5,1.2,,,,,,
A,2023/11/15,岡山県,古米,山田錦,60,6,125,33.52,,,,,,,,,,,,,14:07:00,14.12 ,40.62,0.6,1.4,2.5,全開,6.2,1,0.6,1.4,2.5,全開,6.2,1,0.6,1.4,,,,,,
B,2023/11/16,兵庫県,新米,山田錦,50,6,120,32.42,10:24:00,10.40 ,34.38,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,14:34:00,14.57 ,40.78,0.6,1.4,2.5,全開,6.0,1,0.6,1.4,2.5,全開,6.0,2,0.5,1.2,,,,,,
A,2023/11/17,岡山県,古米,山田錦,60,6,125,33.22,,,,,,1.3,2.1,全閉,全閉,39.0,39.5,6.2,14:19:00,14.32 ,,0.6,1.4,2.5,全開,6.2,1,0.6,1.4,2.5,全開,6.2,1,0.6,1.4,,,,,,
B,2023/11/18,岡山県,古米,山田錦,60,6,120,32.88,,,,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,14:16:00,14.27 ,41.92,0.6,1.4,2.5,全開,6.0,1,0.6,1.4,2.5,全開,6.0,1,0.6,1.4,,,,,,
A,2023/11/19,兵庫県,新米,山田錦,50,6,110,32.90,11:51:00,11.85 ,35.64,,,,,,,,,,14:25:00,14.42 ,40.44,0.5,1.2,2.5,全開,5.8,1,0.5,1.2,2.5,全開,5.8,2,0.5,1.1,,,,,,
B,2023/11/20,岡山県,古米,山田錦,60,4,85,31.82,10:34:00,10.57 ,34.96,,,,,,,,,,14:22:00,14.37 ,41.36,1.5,2.3,全閉,全閉,5.3,2,1.6,2.5,,,5.3,2,1.6,2.6,0.4,0.8,2.5,1.0,5.5,
A,2023/11/21,兵庫県,新米,山田錦,40,6,125,31.66,11:53:00,11.88 ,35.00,,,,,,,,,,15:38:00,15.63 ,41.74,0.6,1.3,2.5,全開,6.2,1,0.6,1.3,2.5,全開,6.2,1,0.6,1.3,,,,,,
B,2023/11/22,兵庫県,新米,山田錦,50,6,105,32.40,11:46:00,11.77 ,35.98,,,,,,,,,,15:23:00,15.38 ,41.40,0.4,1.1,2.5,全開,5.8,2,0.5,1.2,2.5,,5.8,2,0.4,1.1,,,,,,
A,2023/11/23,兵庫県,新米,山田錦,40,6,125,31.96,13:05:00,13.08 ,37.86,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,15:22:00,15.37 ,41.20,0.6,1.2,2.5,全開,6.0,1,0.6,1.2,2.5,全開,6.0,1,0.6,1.2,,,,,,
B,2023/11/24,広島県,新米,八反錦,60,3,60,31.50,,,,,,,,,,,,,15:29:00,15.48 ,40.76,1.2,2.0,全閉,全閉,4.8,1,1.2,2.0,全閉,全閉,4.8,1,1.2,2.0,,,,,,
A,2023/11/25,岡山県,新米,雄町,40,4,90,,11:43:00,11.72 ,34.02,,,,,,,,,,15:33:00,15.55 ,40.76,1.4,2.1,全閉,全閉,5.3,1,1.4,2.1,全閉,全閉,5.3,2,1.3,1.9,0.25,0.75,2.5,1.0,5.5,
B,2023/11/26,兵庫県,新米,山田錦,40,4,80,30.92,11:42:00,11.70 ,33.62,,,,,,,,,,15:58:00,15.97 ,40.90,1.3,2.0,全閉,全閉,5.0,1,1.3,2.0,全閉,全閉,5.0,2,1.2,1.8,0.25,0.65,2.5,1.0,5.3,
A,2023/11/27,岡山県,新米,雄町,40,4,85,31.10,11:41:00,11.68 ,34.34,,,1.3,2.0,全閉,全閉,39.0,39.5,5.3,15:48:00,15.80 ,41.48,1.3,2.0,全閉,全閉,5.3,2,1.4,2.1,全閉,全閉,5.3,2,1.6,2.3,0.3,0.75,2.5,1.0,,
B,2023/11/28,岡山県,新米,雄町,40,4,100,31.18,,,,,,1.5,2.3,全閉,全閉,39.0,39.5,,15:43:00,15.72 ,40.90,1.5,2.3,全閉,全閉,5.7,2,1.6,2.4,全閉,全閉,5.7,2,1.5,2.3,,,,,,
A,2023/11/29,兵庫県,新米,山田錦,50,6,140,32.50,10:57:00,10.95 ,34.98,,,1.4,2.3,全閉,全閉,39.0,39.5,6.3,15:25:00,15.42 ,41.64,0.7,1.5,2.5,全開,6.3,2,0.6,1.5,2.5,全開,6.3,2,0.6,1.6,,,,,,
B,2023/11/30,兵庫県,新米,山田錦,50,6,115,31.62,10:51:00,10.85 ,34.16,,,1.3,2.1,全閉,全閉,39.0,39.5,5.8,15:26:00,15.43 ,41.30,0.5,1.2,2.5,全開,5.8,2,0.5,1.1,2.5,全開,5.8,1,0.5,1.1,,,,,,
A,2023/12/1,兵庫県,新米,山田錦,50,6,140,31.74,10:54:00,10.90 ,34.30,,,,,,,,,,,0.00 ,,0.7,1.5,2.5,全開,6.3,2,0.6,1.4,2.5,全開,6.3,2,0.6,1.3,,,,,,
B,2023/12/2,兵庫県,新米,山田錦,50,6,145,31.80,11:09:00,11.15 ,34.52,,,1.5,2.3,全閉,全閉,39.0,39.5,6.4,15:22:00,15.37 ,41.06,0.7,1.5,2.5,全開,6.4,2,0.6,1.4,2.5,全開,6.4,2,0.6,1.2,,,,,,
A,2023/12/3,兵庫県,新米,山田錦,50,6,150,31.54,10:37:00,10.62 ,33.52,,,1.5,2.3,全閉,全閉,39.0,39.5,6.4,15:37:00,15.62 ,41.08,0.7,1.5,2.5,全開,6.4,1,0.7,1.5,2.5,全開,6.4,2,0.6,1.3,,,,,,
A,2023/12/5,広島県,新米,八反錦,60,6,140,31.38,11:05:00,11.08 ,34.04,,,1.5,2.3,全閉,全閉,39.0,39.5,6.4,15:36:00,15.60 ,41.38,0.7,1.4,2.5,全開,6.4,2,0.6,1.3,2.5,全開,6.4,2,0.6,1.2,,,,,,
B,2023/12/6,兵庫県,新米,山田錦,50,6,145,32.42,11:26:00,11.43 ,35.54,,,,,,,,,,15:24:00,15.40 ,41.30,0.7,1.5,2.5,全開,6.4,2,0.7,1.4,2.5,全開,6.4,1,0.7,1.4,,,,,,
A,2023/12/7,広島県,新米,八反錦,60,6,140,32.24,12:16:00,12.27 ,37.06,,,,,,,,,,15:16:00,15.27 ,41.20,0.6,1.4,2.5,全開,6.4,2,0.6,1.3,2.5,全開,6.4,2,0.5,1.2,,,,,,
B,2023/12/8,広島県,新米,八反錦,60,6,120,32.24,10:42:00,10.70 ,34.62,,,,,,,,,,15:20:00,15.33 ,41.42,0.5,1.2,2.5,全開,6.0,2,0.4,1.2,2.5,全開,6.0,2,0.4,1.1,,,,,,
A,2023/12/9,兵庫県,新米,山田錦,50,6,147,32.66,13:00:00,13.00 ,38.70,,,,,,,,,,15:14:00,15.23 ,41.74,0.7,1.5,2.5,全開,6.4,2,0.6,1.5,2.5,全開,6.4,1,0.6,1.5,,,,,,
B,2023/12/10,広島県,新米,八反錦,60,6,120,32.44,,,,,,,,,,,,,15:10:00,15.17 ,41.22,0.5,1.2,2.5,全開,6.0,1,0.5,1.2,2.5,全開,6.0,2,0.5,1.1,,,,,,
A,2023/12/11,兵庫県,新米,山田錦,50,6,115,32.76,11:08:00,11.13 ,35.62,,,,,,,,,,15:03:00,15.05 ,41.16,0.5,1.2,2.5,全開,6.0,2,0.4,1.2,2.5,全開,6.0,2,0.4,1.15,,,,,,
B,2023/12/12,兵庫県,新米,山田錦,50,6,105,32.44,11:47:00,11.78 ,36.40,,,,,,,,,5.8,15:16:00,15.27 ,41.30,0.4,1.2,2.5,全開,5.8,1,0.4,1.2,2.5,全開,5.8,1,0.4,1.2,,,,,,
A,2023/12/13,兵庫県,新米,山田錦,60,6,125,32.42,11:25:00,11.42 ,35.60,,,,,,,,,,15:20:00,15.33 ,41.80,0.7,1.4,2.5,全開,6.2,1,0.7,1.4,2.5,全開,6.2,2,0.6,1.2,,,,,,
B,2023/12/14,岡山県,新米,雄町GAP,60,1,20,31.46,11:17:00,11.28 ,34.46,,,,,,,,,,15:16:00,15.27 ,41.16,0.6,1.3,2.5,全開,6.3,2,0.7,1.3,2.5,全開,6.3,2,0.6,1.1,,,,,,
B,2023/12/14,兵庫県,新米,山田錦,50,5,110,31.46,11:17:00,11.28 ,34.36,,,,,,,,,,15:16:00,15.27 ,41.16,0.6,1.3,2.5,全開,6.3,2,0.7,1.3,2.5,全開,6.3,2,0.6,1.1,,,,,,
A,2023/12/15,兵庫県,新米,山田錦,50,6,130,32.00,11:07:00,11.12 ,34.58,,,,,,,,,,15:16:00,15.27 ,40.94,0.7,1.5,2.5,全開,6.4,2,0.7,1.4,2.5,全開,6.4,2,0.7,1.3,,,,,,
B,2023/12/16,広島県,新米,八反錦呉産,60,6,120,32.04,10:37:00,10.62 ,34.60,,,,,,,,,,15:00:00,15.00 ,41.62,0.6,1.3,2.5,全開,6.0,2,0.5,1.2,2.5,全開,6.0,1,0.5,1.2,,,,,,
A,2023/12/17,岡山県,新米,朝日,50,4,100,31.48,10:39:00,10.65 ,33.86,,,1.5,2.3,全閉,全閉,39.0,39.5,5.5,15:25:00,15.42 ,41.06,1.5,2.3,全閉,全閉,5.5,2,1.5,2.0,全閉,全閉,5.5,2,1.4,1.8,0.35,0.75,2.5,1.0,,
B,2023/12/18,広島県,新米,八反錦呉産,60,1,20,30.74,11:18:00,11.30 ,33.28,,,,,,,,,,15:34:00,15.57 ,40.92,0.6,1.3,2.5,全開,6.2,2,0.5,1.1,2.5,全開,6.2,2,0.4,0.9,,,,,,
B,2023/12/18,兵庫県,新米,山田錦,50,5,110,30.74,11:18:00,11.30 ,33.28,,,,,,,,,,15:34:00,15.57 ,40.92,0.6,1.3,2.5,全開,6.2,2,0.5,1.1,2.5,全開,6.2,2,0.4,0.9,,,,,,
A,2023/12/19,岡山県,新米,朝日,50,6,125,31.58,12:57:00,12.95 ,36.10,,,,,,,,,,15:44:00,15.73 ,40.60,0.4,1.0,2.5,全開,6.0,2,0.4,0.9,2.5,全開,6.0,2,0.4,0.8,,,,,,
B,2023/12/20,岡山県,新米,朝日,50,6,135,32.30,11:24:00,11.40 ,34.94,,,,,,,,,,15:24:00,15.40 ,,0.4,1.0,2.7,全開,6.2,2,0.4,0.8,2.7,全開,6.2,2,0.3,0.5,,,,,,
A,2023/12/21,兵庫県,新米,山田錦,50,6,110,31.60,10:50:00,10.83 ,33.98,,,,,,,,,,15:14:00,15.23 ,40.88,0.5,1.2,2.7,全開,5.8,2,0.5,1.0,2.7,全開,5.8,2,0.4,0.8,,,,,,
B,2023/12/22,岡山県,新米,雄町,50,3,55,31.76,10:41:00,10.68 ,34.02,,,,,,,,,,15:13:00,15.22 ,40.62,1.2,1.9,全閉,全閉,4.8,2,1.3,1.9,全閉,全閉,4.8,1,1.3,1.9,,,,,,
A,2023/12/23,兵庫県,新米,山田錦,50,6,150,31.64,10:47:00,10.78 ,33.62,,,,,,,,,,15:13:00,15.22 ,40.92,0.8,1.5,2.5,全開,6.4,2,0.6,1.4,2.5,全開,6.4,1,0.6,1.4,,,,,,
B,2023/12/24,兵庫県,新米,山田錦,50,6,140,32.02,11:25:00,11.42 ,34.94,,,,,,,,,,15:19:00,15.32 ,40.86,0.7,1.3,2.5,全開,6.4,1,0.7,1.3,2.5,全開,6.4,1,0.7,1.3,,,,,,
A,2023/12/25,岡山県,新米,雄町GAP,60,4,95,31.60,10:49:00,10.82 ,34.18,,,,,,,,,,15:18:00,15.30 ,41.24,1.5,2.3,全閉,全閉,5.5,2,1.6,2.2,全閉,全閉,5.5,1,1.6,2.2,0.35,0.75,2.7,全開,5.5,
B,2023/12/26,広島県,新米,八反錦呉産,60,6,120,31.98,10:59:00,10.98 ,34.68,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,15:02:00,15.03 ,41.02,0.5,1.2,2.5,全開,6.0,2,0.5,1.1,2.5,全開,6.0,2,0.4,0.9,,,,,,
A,2023/12/27,岡山県,新米,雄町GAP,60,4,80,31.62,10:12:00,10.20 ,33.46,,,,,,,,,,15:05:00,15.08 ,41.58,1.4,2.1,全閉,全閉,5.3,2,1.5,2.2,全閉,全閉,5.3,1,1.5,2.2,0.25,0.67,2.1,1.0,5.5,
B,2023/12/28,兵庫県,新米,山田錦,50,4,90,31.38,10:46:00,10.77 ,33.74,,,,,,,,,,15:19:00,15.32 ,40.90,1.5,2.2,全閉,全閉,5.5,2,1.5,2.0,全閉,全閉,5.5,1,1.5,2.0,0.25,0.65,2.7,1.0,5.8,
A,2023/12/29,広島県,新米,八反錦呉産,60,6,145,32.64,10:48:00,10.80 ,35.26,,,,,,,,,,15:11:00,15.18 ,41.18,0.7,1.4,2.5,全開,6.4,1,0.7,1.4,2.5,全開,6.4,2,0.7,1.3,,,,,,
B,2023/12/30,広島県,新米,八反錦呉産,60,6,145,32.28,10:37:00,10.62 ,34.84,,,,,,,,,,15:01:00,15.02 ,40.90,0.7,1.4,2.5,全開,6.4,1,0.7,1.4,2.5,全開,6.4,1,0.7,1.4,,,,,,
A,2024/1/2,広島県,新米,八反錦呉産,60,6,130,32.92,10:18:00,10.30 ,34.98,,,1.5,2.4,全閉,全閉,39.0,39.5,6.2,14:31:00,14.52 ,41.84,0.6,1.3,2.5,全開,6.2,2,0.5,1.3,2.5,全開,6.2,2,0.5,1.2,,,,,,
B,2024/1/3,兵庫県,新米,山田錦,35,3,55,31.30,10:50:00,10.83 ,34.94,,,,,,,,,,15:09:00,15.15 ,42.20,1.4,2.1,全閉,全閉,4.8,2,1.5,2.2,全閉,全閉,4.8,2,1.4,2.1,,,,,,
A,2024/1/4,岡山県,新米,雄町,50,6,135,32.02,11:15:00,11.25 ,34.94,,,,,,,,,,15:11:00,15.18 ,41.10,0.6,1.3,2.5,全開,6.2,2,0.6,1.2,2.5,全開,6.2,2,0.6,1.0,,,,,,
B,2024/1/5,広島県,新米,八反錦呉産,60,6,110,32.10,10:53:00,10.88 ,34.62,,,,,,,,,,14:54:00,14.90 ,40.78,0.4,1.1,2.5,全開,6.0,2,0.3,1.0,2.5,全開,6.0,2,0.2,0.75,,,,,,
A,2024/1/6,岡山県,新米,雄町,50,6,135,32.20,10:49:00,10.82 ,34.42,,,1.4,2.3,全閉,全閉,39.0,39.5,6.2,15:13:00,15.22 ,41.18,0.6,1.2,2.5,全開,6.2,1,0.6,1.2,2.5,全開,6.2,2,0.6,1.0,,,,,,
B,2024/1/7,岡山県,新米,雄町,50,6,150,32.50,11:12:00,11.20 ,35.32,,,,,,,,,,15:03:00,15.05 ,41.26,0.7,1.3,2.5,全開,6.4,1,0.7,1.3,2.5,全開,6.4,2,0.5,1.1,,,,,,
