,,ロット情報,,,,,,①盛り後,②2~3h後点検,,,,,③制御2→3,,,,,,,④手入れ前,,,,,,,,⑤制御3→4,,,,,,⑥制御4,,,⑦朝から除湿,,,,,
製麴機,月日,産地,新古,品種,精米歩合,枚数,重量,①品温,②時刻,②時刻(h),②品温,②保温1,②保温2,③換気,③排気,③除湿機入り,③除湿機戻り,③保温1,③保温2,③風量,④時刻,④時刻(h),④品温,④換気,④排気,④除湿機入り,④除湿機戻り,④風量,"⑤変更有無
変更無=1
変更有=2",⑤換気,⑤排気,⑤除湿機入り,⑤除湿機戻り,⑤風量,⑥変更有無,⑥換気,⑥排気,⑦換気,⑦排気,⑦除湿機入り,⑦除湿機戻り,⑦風量,
B,2021/11/14,岡山県,新米,山田錦,60,4,100,31.74,,,,,,1.5,2.4,全閉,全閉,39.0,39.5,5.5,15:35:00,15.58 ,41.74,1.4,2.3,全閉,全閉,5.5,2,1.5,2.3,全閉,全閉,5.5,1,1.5,2.3,0.35,0.85,3.1,全開,5.7,
A,2021/11/15,岡山県,新米,雄町,50,6,140,31.44,,,,,,1.4,2.3,全閉,全閉,39.0,39.5,6.4,15:59:00,15.98 ,41.00,0.9,1.8,3.1,全開,6.4,1,0.9,1.8,3.1,全開,6.4,2,0.8,1.7,,,,,,
B,2021/11/16,岡山県,新米,雄町,50,6,140,31.36,11:10:00,11.17 ,33.14,,,1.4,2.3,,,,,,16:14:00,16.23 ,41.42,0.8,1.7,3.1,全開,6.4,2,0.7,1.6,3.1,全開,6.4,1,0.7,1.6,,,,,,
A,2021/11/17,岡山県,新米,雄町,50,4,110,31.16,,,,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,16:05:00,16.08 ,41.10,0.5,1.3,3.1,全開,6.0,1,0.5,1.3,3.1,全開,6.0,1,0.5,1.3,,,,,,
B,2021/11/18,岡山県,新米,雄町,50,3,110,31.10,10:45:00,10.75 ,31.96,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,16:16:00,16.27 ,40.52,0.5,1.3,3.1,全開,6.0,1,0.5,1.3,3.1,全開,6.0,1,0.5,1.3,,,,,,
A,2021/11/19,広島県,新米,八反錦,60,6,140,32.44,11:19:00,11.32 ,34.38,,,1.5,2.4,全閉,全閉,39.0,39.5,6.4,15:53:00,15.88 ,41.10,0.9,1.8,3.1,全開,6.4,1,0.9,1.8,3.1,全開,6.4,1,0.9,1.8,,,,,,
B,2021/11/20,兵庫県,新米,山田錦,35,2,40,30.52,10:54:00,10.90 ,33.34,,,1.0,1.8,全閉,全閉,39.0,39.5,4.0,16:09:00,16.15 ,41.02,0.8,1.7,全閉,全閉,3.8,2,0.9,1.8,全閉,全閉,3.8,1,0.9,1.8,,,,,,
A,2021/11/21,広島県,新米,八反錦,60,6,140,31.90,11:17:00,11.28 ,34.00,,,1.4,2.3,全閉,全閉,39.0,39.5,6.4,16:05:00,16.08 ,40.86,0.9,1.8,3.1,全開,6.4,1,0.9,1.8,3.1,全開,6.4,1,0.9,1.8,,,,,,
B,2021/11/22,岡山県,新米,雄町,40,1,15,32.32,11:07:00,11.12 ,34.04,,,1.3,2.2,全閉,全閉,39.0,39.5,6.3,15:47:00,15.78 ,41.08,0.8,1.7,3.1,全開,6.3,1,0.8,1.7,3.1,全開,6.3,2,0.9,1.8,,,,,,
B,2021/11/22,広島県,新米,八反錦,60,5,120,32.32,11:07:00,11.12 ,34.04,,,1.3,2.2,全閉,全閉,39.0,39.5,6.3,15:47:00,15.78 ,41.08,0.8,1.7,3.1,全開,6.3,1,0.8,1.7,3.1,全開,6.3,2,0.9,1.8,,,,,,
